,collection_date,country,host_species,reassortant,state,strain_name,subtype
1772,2009-12-29,USA,Mallard/Avian,False,Maryland,A/mallard/Maryland/09OS2221/2009,H1N1
1773,2009-05-25,Egypt,Chicken/Avian,False,Sharkia,A/chicken/Sharkia/CAI41/2009,H5N1
1774,2007-11-12,,Mallard/Avian,False,Sweden,A/mallard/Sweden/69794/2007,H12N5
1775,2010-11-30,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/10OS4193/2010,H11N9
1776,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,A/green-winged teal/New Brunswick/02591/2007,H3N8
1777,2010-07-31,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM06899R0/2010,H7N3
1778,2010-07-26,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/10BM05638R0/2010,H3N8
1779,2011-09-09,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/11ML00037/2011,H4N6
1780,2009-09-02,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM12388R0/2009,H3N8
1781,2010-03-03,Egypt,Chicken/Avian,False,Menofia,A/chicken/Menofia/CAI39/2010,H5N1
1782,2007-08-03,USA,Mallard/Avian,False,Minnesota,A/mallard/Minnesota/Sg-00057/2007,H10N7
1783,2009-11-14,China,Duck/Avian,False,Guangxi,A/duck/Guangxi/GXd-4/2009,H6N6
1784,2011-03-20,China,Chicken/Avian,False,Zhejiang,A/chicken/Zhejiang/C1083/2011,H9N2
1785,2009-08-18,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM11643R0/2009,H8N4
1786,2008-07-31,USA,Mallard/Avian,False,Minnesota,A/mallard/Minnesota/Sg-00591/2008,H3N8
1787,2007-01-06,Viet Nam,Chicken/Avian,False,Bac Lieu,A/chicken/Bac Lieu/1214/2007,H5N1
1788,2010-08-12,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM11418R0/2010,H3N8
1789,2010-07-30,USA,Mallard/Avian,False,California,A/mallard/California/1289/2010,H4N6
1790,2011-08-12,USA,Mallard/Avian,True,California,A/mallard/California/2527V/2011,H5N1
1791,2012-12-19,Georgia,Mallard/Avian,False,Republic of Georgia,A/mallard/Republic of Georgia/4/2012,H1N1
1792,2011-08-15,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS2149/2011,H2N3
1793,2009-12-02,,Mallard/Avian,False,Sweden,A/mallard/Sweden/105516/2009,H4N6
1794,2011-06-15,China,Duck/Avian,True,Zhejiang,A/duck/Zhejiang/S2088/2011,H4N6
1795,2009-07-29,USA,Mallard/Avian,True,California,A/mallard/California/5282/2009,Mixed
1796,2009-08-11,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM9005R0/2009,H10N7
